"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Gasol vs Capela (Martin gains possession)","0","-80","0","0","0","10","203991","1610612763","201188","0","0","1626185","1610612763"
"3","7","11:41","[MEM 2-0] Gasol Dunk Shot: Made (2 PTS) Assist: Martin (1 AST)","1","7","2","0","7","1","","1610612763","201188","0","2","1626185","1610612763"
"4","9","11:19","[HOU 2-2] Capela Alley Oop Layup shot: Made (2 PTS) Assist: Harden (1 AST)","-11","17","2","0","43","1","","1610612745","203991","2","2","201935","1610612745"
"5","11","11:06","[HOU] Anderson Foul: Shooting (1 PF) (2 FTA)","-5","806","0","0","2","6","203516","1610612745","201583","2","2","","1610612763"
"6","13","11:06","[MEM 3-2] Ennis III Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612763","203516","2","3","","1610612763"
"7","14","11:06","[MEM 4-2] Ennis III Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612763","203516","2","4","","1610612763"
"8","15","10:46","[HOU 4-4] Anderson Step Back Jump shot: Made (2 PTS) Assist: Ariza (1 AST)","-158","30","2","0","80","1","","1610612745","201583","4","4","2772","1610612745"
"9","17","10:30","[MEM] Gasol 3pt Shot: Missed","-96","233","3","0","1","2","","1610612763","201188","4","4","","1610612763"
"10","18","10:25","[HOU] Gordon Rebound (Off:0 Def:1)","96","603","0","0","0","4","","1610612745","201569","4","4","","1610612763"
"11","19","10:22","[HOU] Gordon 3pt Shot: Missed","150","255","3","0","1","2","","1610612745","201569","4","4","","1610612745"
"12","20","10:18","[MEM] Martin Rebound (Off:0 Def:1)","-150","581","0","0","0","4","","1610612763","1626185","4","4","","1610612745"
"13","21","10:03","[MEM 6-4] Gasol Driving Dunk Shot: Made (4 PTS)","-4","7","2","0","9","1","","1610612763","201188","4","6","","1610612763"
"14","22","09:45","[HOU] Harden Layup Shot: Missed","-60","25","2","0","5","2","","1610612745","201935","4","6","","1610612745"
"15","23","09:41","[MEM] Harrison Rebound (Off:0 Def:1)","60","811","0","0","0","4","","1610612763","1626150","4","6","","1610612745"
